st_code,dt_code,state,district,current_ac_cr,savings_ac_cr,deposit_cr,credit_cr,population,housing_loan_cr,con_durable_loan_cr,auto_loan_cr,education_loan_cr,cc_loan_cr,others_loan_cr
24,482,GUJARAT,ANAND,1636.4,11441.6,42987.6,17331.4,3502228,3644.1,108.2,974.3,264.5,196.6,1504.4
24,725,GUJARAT,ARAVALLI,291.8,2440.6,5144,4610.6,1589532,906.1,2.9,164.5,17.9,30.7,414.6
24,469,GUJARAT,BANAS KANTHA,868.2,5523.2,11995.1,17451.2,4763930,2334,30.4,709.9,64.6,174.2,1072.5
24,488,GUJARAT,BHARUCH,2577.7,10021.9,30442.1,19350,2104491,5798.4,41.1,1270,105.2,389.8,1638
24,481,GUJARAT,BHAVNAGAR,1849.5,9010.3,24025.1,17297.5,3536559,3790.6,25.9,865.8,105.9,222.1,1991.6
24,726,GUJARAT,BOTAD,199.4,1568.1,3068.7,2585.3,905449,123.8,3.8,113.1,4.8,21.4,151.5
24,731,GUJARAT,CHHOTAUDEPUR,175.3,1783.7,3411.6,2370.5,1518964,467.7,10,121.7,11.6,16.2,256.5
24,489,GUJARAT,DANGS,34.5,528.5,822.7,211.9,342480,12.1,0,40,1.2,2,76.7
24,728,GUJARAT,DEVBHUMI DWARKA,443.2,2507.8,5758.6,2663.3,1119853,235.5,3,120.9,17.8,61.8,292.2
24,485,GUJARAT,DOHAD,432.8,3051.5,5862,3835,3459263,807.4,8.5,313.8,17,24.7,724.7
24,473,GUJARAT,GANDHINAGAR,4203.1,27055.8,56922.6,26864.5,1659413,13384.1,46.6,1379.7,168.7,256.1,2260.1
24,729,GUJARAT,GIR SOMNATH,684.7,3276.6,7507.9,4204.8,1606767,432.4,8.7,264.8,37.1,125.1,436.6
24,477,GUJARAT,JAMNAGAR,1849.5,9027.9,25661.2,16994,1770525,3748.1,9,942.5,70.1,235.6,1328.7
24,479,GUJARAT,JUNAGADH,848.6,7223.4,18177.6,10694,2142813,1926.7,25.2,551.9,73.4,117.7,881.5
24,468,GUJARAT,KACHCHH,3796.2,12848.8,55912.2,27912,3083436,4950.6,24.7,1787.6,63.3,430.1,2738.4
24,483,GUJARAT,KHEDA,824.3,6734,20271.6,9555.4,2592795,2252.2,12.9,568.9,70.1,94,852.5
24,471,GUJARAT,MAHESANA,1597,9892.7,23108.3,22245.8,2775568,5927,41.4,1219.3,74.9,183.2,1934.6
24,730,GUJARAT,MAHISAGAR,182.1,2098.6,4606.6,2798.8,1320146,780.4,2.8,172.2,10.2,27.8,421
24,727,GUJARAT,MORBI,2198.8,5647.3,12828.8,23820.7,1387717,1064.4,4,1022,21.9,130.8,508.5
24,487,GUJARAT,NARMADA,168,1422.7,2722.5,1689,874681,349.1,2.7,110.9,6,8.2,223
24,490,GUJARAT,NAVSARI,1034.9,10310.9,28068.7,9783.5,1819785,3022.4,26.4,806,131,116.5,956.7
24,484,GUJARAT,PANCH MAHALS,668,3491.2,8403.3,6979.7,2459387,2227,10.8,462.2,29.5,58.7,761.9
